Date,Gender,Height,Weight,Step_count,Calories_intake
2020-06-04,M,176,179.99,3161,1183
2020-06-05,M,176,180.91,8758,1628
2020-06-06,M,176,179.76,3051,1494
2020-06-07,M,176,179.06,16567,1212
2020-06-08,M,176,181.59,8061,1230
2020-06-09,M,176,179.99,3379,1633
2020-06-10,M,176,179.52,15198,768
2020-06-11,M,176,179.3,9810,4500
2020-06-12,M,176,178.62,3213,3086
2020-06-13,M,176,180.91,15786,3800
2020-06-14,M,176,180.67,1782,1918
2020-06-15,M,176,181.59,15101,2036
2020-06-16,M,176,180.21,3372,3106
2020-06-17,M,176,181.35,1444,2026
2020-06-18,M,176,181.35,21776,1664
2020-06-19,M,176,181.13,1780,1611
2020-06-20,M,176,182.28,10407,1563
2020-06-21,M,176,181.13,2362,1681
2020-06-22,M,176,179.99,13574,1711
2020-06-23,M,176,178.62,3919,1708
2020-06-24,M,176,177.69,1254,1516
2020-06-25,M,176,177.23,19678,1814
2020-06-26,M,176,177.91,2632,1721
2020-06-27,M,176,179.76,7759,920
2020-06-28,M,176,179.99,2634,1800
2020-06-29,M,176,178.84,14062,670
2020-06-30,M,176,177.47,2294,2400
2020-07-01,M,176,176.77,2002,3500
2020-07-02,M,176,177.69,18454,1814
2020-07-03,M,176,178.62,2369,1676
2020-07-04,M,176,177.69,12279,1183
2020-07-05,M,176,176.08,2987,1098
2020-07-06,M,176,175.86,10656,1941
2020-07-07,M,176,174.94,2453,1950
2020-07-08,M,176,177.01,2224,1927
2020-07-09,M,176,177.23,1538,1566
2020-07-10,M,176,180.21,12929,1976
2020-07-11,M,176,177.91,3116,1422
2020-07-12,M,176,179.76,9605,2434
2020-07-13,M,176,177.91,2718,2706
2020-07-14,M,176,179.06,1977,1657
2020-07-15,M,176,179.76,19221,1373
2020-07-16,M,176,179.52,2942,2559
2020-07-17,M,176,177.69,14164,1968
2020-07-18,M,176,177.01,3195,2339
2020-07-19,M,176,177.69,11876,1713
2020-07-20,M,176,177.69,18841,1480
2020-07-21,M,176,176.77,2839,1811
2020-07-22,M,176,177.23,13680,1545
2020-07-23,M,176,174.03,2180,1567
2020-07-24,M,176,173.33,10867,2092
2020-07-25,M,176,173.57,2081,2431
2020-07-26,M,176,175.4,3410,3100
2020-07-27,M,176,177.01,2311,1246
2020-07-28,M,176,177.91,14021,4750
2020-07-29,M,176,174.94,2622,2087
2020-07-30,M,176,176.77,14231,2642
2020-07-31,M,176,176.33,3019,2450
2020-08-01,M,176,177.19,8555,1950
2020-08-02,M,176,175.25,5152,2600
2020-08-03,M,176,175.75,8101,2500
2020-08-04,M,176,175.75,8275,1850
2020-08-05,M,176,173.17,8650,2900
2020-08-06,M,176,174.08,5582,3600
2020-08-07,M,176,174.98,5626,2400
2020-08-08,M,176,174.85,8685,3100
2020-08-09,M,176,175.25,8624,2200
2020-08-10,M,176,174.72,8785,1800
2020-08-11,M,176,172.11,8512,2300
2020-08-12,M,176,170.95,8665,3000
2020-08-13,M,176,171.74,5518,4000
2020-08-14,M,176,173.94,8659,2800
2020-08-15,M,176,173.17,8219,2300
2020-08-16,M,176,173.04,8755,2400
2020-08-17,M,176,172.78,8492,2100
2020-08-18,M,176,172.11,7910,2450
2020-08-19,M,176,172.78,8114,3400
2020-08-20,M,176,174.21,11414,3600
2020-08-21,M,176,175.11,5076,4200
2020-08-22,M,176,176.15,8508,2000
2020-08-23,M,176,174.98,8726,2150
2020-08-24,M,176,173.68,14462,2300
2020-08-25,M,176,171.98,4847,2800
2020-08-26,M,176,172.11,5576,2000
2020-08-27,M,176,171.74,5008,4150
2020-08-28,M,176,172.91,8067,5400
2020-08-29,M,176,175.88,8043,1700
2020-08-30,M,176,173.81,8200,2100
2020-08-31,M,176,172.64,13798,2150
2020-09-01,M,176,171.61,8878,3250
2020-09-02,M,176,173.04,5503,4200
2020-09-03,M,176,174.85,5511,4800
2020-09-04,M,176,176.15,5104,4600
2020-09-05,M,176,177.05,8058,1800
2020-09-06,M,176,173.81,8811,2400
2020-09-07,M,176,173.68,13893,2500
2020-09-08,M,176,172.64,8355,3800
2020-09-09,M,176,174.72,8422,2000
2020-09-10,M,176,173.81,4781,3100
2020-09-11,M,176,174.98,14271,5200
2020-09-12,M,176,174.21,8421,2200
2020-09-13,M,176,173.94,8293,2100
2020-09-14,M,176,173.04,7993,2350
2020-09-15,M,176,172.91,8679,6300
2020-09-16,M,176,174.08,8260,1700
2020-09-17,M,176,173.81,13691,5650
2020-09-18,M,176,174.85,5112,5900
2020-09-19,M,176,177.05,8041,2250
2020-09-20,M,176,175.11,13587,2350
2020-09-21,M,176,173.81,8849,2600
2020-09-22,M,176,173.81,8005,5400
2020-09-23,M,176,174.98,8770,4400
2020-09-24,M,176,175.11,8140,3050
2020-09-25,M,176,175.11,10804,5900
2020-09-26,M,176,175.88,8612,2400
2020-09-27,M,176,175.11,8663,1900
2020-09-28,M,176,173.81,8946,2300
2020-09-29,M,176,174.21,8577,2550
2020-09-30,M,176,173.68,7791,2781
2020-10-01,M,176,174.54,7791,2781
2020-10-02,M,176,174.28,7791,2781
2020-10-03,M,176,178.88,3896,5800
2020-10-04,M,176,179.92,8588,2500
2020-10-05,M,176,177.85,8474,5150
2020-10-06,M,176,179.15,7811,4300
2020-10-07,M,176,178.35,8829,2900
2020-10-08,M,176,178.22,8164,1500
2020-10-09,M,176,175.75,3904,2200
2020-10-10,M,176,174.98,7847,2200
2020-10-11,M,176,174.72,7954,1400
2020-10-12,M,176,173.15,8738,3400
2020-10-13,M,176,174.08,8420,2900
2020-10-14,M,176,175.88,8522,1600
2020-10-15,M,176,173.94,3735,4900
2020-10-16,M,176,175.25,3238,6450
2020-10-17,M,176,177.85,8519,2300
2020-10-18,M,176,176.15,8821,2300
2020-10-19,M,176,173.94,3697,1800
2020-10-20,M,176,173.04,3807,3200
2020-10-21,M,176,174.72,3903,3400
2020-10-22,M,176,175.75,3346,1900
2020-10-23,M,176,175.11,8188,4300
2020-10-24,M,176,174.98,8813,1800
2020-10-25,M,176,173.81,7973,3750
2020-10-26,M,176,173.15,8343,3500
2020-10-27,M,176,173.99,7791,2781
2020-10-28,M,176,174.21,7791,2781
2020-10-29,M,176,174.03,7791,2781
2020-10-30,M,176,175.75,8512,2850
2020-10-31,M,176,175.88,3449,2750
2020-11-01,M,176,175.75,3667,2950
2020-11-02,M,176,174.72,3606,7550
2020-11-03,M,176,178.88,8201,1400
2020-11-04,M,176,175.75,8035,1550
2020-11-05,M,176,173.68,8584,2350
2020-11-06,M,176,173.15,8331,5400
2020-11-07,M,176,176.02,8399,3300
2020-11-08,M,176,175.11,4062,5350
2020-11-09,M,176,176.02,3925,5200
2020-11-10,M,176,178.09,8758,2000
2020-11-11,M,176,175.25,7825,3550
2020-11-12,M,176,175.75,3546,2200
2020-11-13,M,176,175.75,8820,2600
2020-11-14,M,176,175.11,8738,3700
2020-11-15,M,176,174.21,8811,3600
2020-11-16,M,176,174.21,7915,2600
2020-11-17,M,176,172.11,7939,4250
2020-11-18,M,176,175.88,8225,2050
2020-11-19,M,176,174.85,3160,5850
2020-11-20,M,176,177.98,3995,1950
2020-11-21,M,176,174.21,8763,5050
2020-11-22,M,176,174.98,3241,6200
2020-11-23,M,176,175.75,4001,7050
2020-11-24,M,176,177.98,4044,2200
2020-11-25,M,176,175.25,8391,2350
2020-11-26,M,176,176.92,3720,5350
2020-11-27,M,176,177.85,8145,1600
2020-11-28,M,176,174.85,8747,3150
2020-11-29,M,176,174.21,4042,3750
2020-11-30,M,176,175.88,3590,6400
2020-12-01,M,176,177.19,8640,2000
2020-12-02,M,176,175.88,8546,2200
2020-12-03,M,176,174.72,8663,2350
2020-12-04,M,176,174.21,8514,2050
2020-12-05,M,176,173.68,3206,3150
2020-12-06,M,176,174.85,3843,4700
2020-12-07,M,176,176.15,3645,4100
2020-12-08,M,176,177.05,8501,2500
2020-12-09,M,176,174.85,8107,2400
2020-12-10,M,176,173.68,3875,2150
2020-12-11,M,176,172.78,8522,2300
2020-12-12,M,176,171.61,7848,2800
2020-12-13,M,176,172.64,3145,9150
2020-12-14,M,176,179.28,3330,1400
2020-12-15,M,176,176.81,8537,2200
2020-12-16,M,176,173.94,8586,2300
2020-12-17,M,176,172.78,8694,2400
2020-12-18,M,176,172.78,7903,2100
2020-12-19,M,176,172.11,3818,2300
2020-12-20,M,176,171.61,3448,5750
